"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"237","ENSG00000150048",4.30542301586542,2.14198480228435e-11,"CLEC1A",4.34803760536939,1.49551188525672e-11,"CLEC1A","not","sig","CLEC1A"
"238","ENSG00000271503",6.2052080725544,2.14198480228435e-11,"CCL5",7.37260635780063,3.28142643940606e-17,"CCL5","not","sig","CCL5"
"239","ENSG00000166557",-1.02663056742345,2.29559467635881e-11,"TMED3",-1.02879650490619,2.06699493229434e-11,"TMED3","not","sig","TMED3"
"240","ENSG00000135828",1.05468991651142,2.68578068218226e-11,"RNASEL",1.01251626296924,9.18303224429722e-12,"RNASEL","not","sig","RNASEL"
"241","ENSG00000137462",1.55632242188037,2.76762315084168e-11,"TLR2",1.59765759648086,1.93900265640164e-12,"TLR2","not","sig","TLR2"
"242","ENSG00000120875",1.21012110692212,2.88313263124361e-11,"DUSP4",1.0681804054724,3.85147672480131e-11,"DUSP4","not","sig","DUSP4"
"243","ENSG00000140092",-1.27523206992798,2.90264742136171e-11,"FBLN5",-1.26557245901108,3.85147672480131e-11,"FBLN5","not","sig","FBLN5"
"244","ENSG00000175782",-0.654334192434439,3.49377356866674e-11,"SLC35E3",-0.612590278760853,2.12449546710879e-09,"SLC35E3","not","sig","SLC35E3"
"245","ENSG00000177663",0.605341811153768,3.65735596596281e-11,"IL17RA",0.659832242223293,8.20391813532184e-12,"IL17RA","not","sig","IL17RA"
"246","ENSG00000218336",-0.813339927440481,4.20906493301476e-11,"TENM3",-0.799767119254074,5.36678232453375e-11,"TENM3","not","sig","TENM3"
"247","ENSG00000118705",-0.91937956183406,7.09337097849112e-11,"RPN2",-0.919584256171177,7.1311091572537e-11,"RPN2","not","sig","RPN2"
"248","ENSG00000109046",0.700991910737185,7.3749357078932e-11,"WSB1",0.623344377772946,9.56987979106317e-09,"WSB1","not","sig","WSB1"
"249","ENSG00000152767",-0.608037815204566,8.64407527592892e-11,"FARP1",-0.574137678679434,9.90988039865574e-11,"FARP1","not","sig","FARP1"
"250","ENSG00000170275",-0.699745349701206,8.71535887628728e-11,"CRTAP",-0.67882030641535,2.99811025447086e-10,"CRTAP","not","sig","CRTAP"
"251","ENSG00000180354",-2.18957896767583,9.048040890189e-11,"MTURN",-2.05657194345299,3.29631390191883e-26,"MTURN","not","sig","MTURN"
"252","ENSG00000137575",0.463704855948791,9.55611829840428e-11,"SDCBP",0.486753406768106,2.57647060231692e-12,"SDCBP","not","sig","SDCBP"
"253","ENSG00000102804",0.571720360254269,1.03855545799178e-10,"TSC22D1",0.583335091771151,1.0128327591346e-12,"TSC22D1","not","sig","TSC22D1"
"254","ENSG00000184371",0.58742855256392,1.12877175806316e-10,"CSF1",0.582895959558682,2.014262910683e-10,"CSF1","not","sig","CSF1"
"255","ENSG00000133639",0.877838365677034,1.17684045330534e-10,"BTG1",0.85177573919662,2.9416180574967e-10,"BTG1","not","sig","BTG1"
"256","ENSG00000179163",-0.798555950856515,1.19180972583423e-10,"FUCA1",-0.76913249863974,1.66462969517718e-09,"FUCA1","not","sig","FUCA1"
"257","ENSG00000143947",-0.976993662993929,1.29323027821323e-10,"RPS27A",-0.96664397165135,1.76340326734878e-10,"RPS27A","not","sig","RPS27A"
"258","ENSG00000167034",1.70499233592343,1.29323027821323e-10,"NKX3-1",1.69726670345698,6.4811004822185e-11,"NKX3-1","not","sig","NKX3-1"
"259","ENSG00000073331",0.888431520092079,1.36443636489046e-10,"ALPK1",0.853332859969636,1.35929346252251e-10,"ALPK1","not","sig","ALPK1"
"260","ENSG00000133321",5.30105670037716,1.53330996504485e-10,"RARRES3",4.92042003310032,4.87681490445263e-09,"RARRES3","not","sig","RARRES3"
"261","ENSG00000123213",-0.581581149629548,1.55405861525176e-10,"NLN",-0.589633005917384,1.00265723360804e-11,"NLN","not","sig","NLN"
"262","ENSG00000197702",-0.493033689071459,1.76108222226908e-10,"PARVA",-0.489061560654408,2.73034788457514e-10,"PARVA","not","sig","PARVA"
"263","ENSG00000173120",0.647778676003902,1.80644241431274e-10,"KDM2A",0.660140939717736,9.01558146398346e-11,"KDM2A","not","sig","KDM2A"
"264","ENSG00000070081",-1.01975572477952,1.80679048265764e-10,"NUCB2",-1.01237508623536,1.26109123812747e-10,"NUCB2","not","sig","NUCB2"
"265","ENSG00000117394",1.30939779592013,1.88788672599829e-10,"SLC2A1",1.31304546266471,1.1971874694936e-10,"SLC2A1","not","sig","SLC2A1"
"266","ENSG00000268083",0.373285453334222,1.90208398506841e-10,NA,NA,NA,NA,"different","nonsig","ENSG00000268083"
"267","ENSG00000052841",0.796468987792281,2.08921219753829e-10,"TTC17",0.80781537422402,3.38695368347454e-11,"TTC17","not","sig","TTC17"
"268","ENSG00000163702",1.32059347648084,2.16108596203784e-10,"IL17RC",1.3757985062163,2.03767900071406e-11,"IL17RC","not","sig","IL17RC"
"269","ENSG00000070061",-0.478591438361,2.16650114632616e-10,"ELP1",-0.468433888822922,7.68303026297262e-10,"ELP1","not","sig","ELP1"
"270","ENSG00000198682",-0.631914386312584,2.25746958886111e-10,"PAPSS2",-0.624139160893696,3.43129941117745e-10,"PAPSS2","not","sig","PAPSS2"
"271","ENSG00000086065",0.76308475487013,2.27776089220839e-10,"CHMP5",0.766859757708807,3.3782591864738e-10,"CHMP5","not","sig","CHMP5"
"272","ENSG00000100567",0.662424931390517,2.49982726434063e-10,"PSMA3",0.680671190536633,9.42084228989069e-12,"PSMA3","not","sig","PSMA3"
"273","ENSG00000120217",2.28113048013288,2.49982726434063e-10,"CD274",2.53855251027143,2.62845756633422e-14,"CD274","not","sig","CD274"
"274","ENSG00000156508",-0.502510735044469,2.56148747830484e-10,"EEF1A1",-0.497720267570683,7.68303026297262e-10,"EEF1A1","not","sig","EEF1A1"
