"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"261","ENSG00000105639",2.70572032624111,2.69551218055321e-47,"JAK3",2.65166987066103,3.26081490177615e-45,"JAK3","not","sig","JAK3"
"262","ENSG00000135363",7.43231900895035,2.7592133654812e-47,"LMO2",7.73624156322453,6.34844627162179e-59,"LMO2","not","sig","LMO2"
"263","ENSG00000006459",-2.39281795999509,3.66213059527006e-47,"KDM7A",-2.30246683304678,1.7887001520544e-39,"KDM7A","not","sig","KDM7A"
"264","ENSG00000109686",-1.51344198008203,4.86640787819382e-47,"SH3D19",-1.51135161418778,1.90870661006289e-44,"SH3D19","not","sig","SH3D19"
"265","ENSG00000168062",6.8887280187876,5.34758501026355e-47,"BATF2",7.39392521866637,8.65240256678224e-61,"BATF2","not","sig","BATF2"
"266","ENSG00000057657",3.39283472061078,6.69147554016045e-47,"PRDM1",3.34407367529925,5.22541538091356e-41,"PRDM1","not","sig","PRDM1"
"267","ENSG00000130939",-1.10929480162663,1.28199256562955e-46,"UBE4B",-1.03284759189705,4.52390005748891e-31,"UBE4B","not","sig","UBE4B"
"268","ENSG00000172716",2.41545198994162,1.28199256562955e-46,"SLFN11",2.26711539485038,6.8741134912933e-42,"SLFN11","not","sig","SLFN11"
"269","ENSG00000178033",-1.99876155111435,1.31020788264107e-46,"CALHM5",-1.98917119517029,4.50772723039572e-53,"CALHM5","not","sig","CALHM5"
"270","ENSG00000131634",3.19912304480454,1.61162460737706e-46,"TMEM204",3.10114650935672,1.83275535630808e-41,"TMEM204","not","sig","TMEM204"
"271","ENSG00000077150",2.49973517258703,1.80355873005589e-46,"NFKB2",2.50223009227898,9.02084399120472e-48,"NFKB2","not","sig","NFKB2"
"272","ENSG00000198959",4.18439104404818,2.0113199225122e-46,"TGM2",4.32286661297707,2.81827994426743e-38,"TGM2","not","sig","TGM2"
"273","ENSG00000108551",5.34208261168085,6.36145092175715e-46,"RASD1",5.10346253540271,1.58142274795609e-45,"RASD1","not","sig","RASD1"
"274","ENSG00000105287",2.23327397425165,7.71928526356366e-46,"PRKD2",2.24457262276703,1.91980049068596e-47,"PRKD2","not","sig","PRKD2"
"275","ENSG00000148842",-2.03770359594605,1.05317737359622e-45,"CNNM2",-1.8059238911935,4.40217260880103e-31,"CNNM2","not","sig","CNNM2"
"276","ENSG00000163121",7.01362577079157,2.05177957344538e-45,"NEURL3",7.49273537051426,5.28778421628789e-62,"NEURL3","not","sig","NEURL3"
"277","ENSG00000128829",-1.04622659490844,6.36317008630788e-45,"EIF2AK4",-1.05350594526825,4.79228388198795e-45,"EIF2AK4","not","sig","EIF2AK4"
"278","ENSG00000100567",1.47254312885011,7.59023235410837e-45,"PSMA3",1.42820275621309,3.53191055103687e-43,"PSMA3","not","sig","PSMA3"
"279","ENSG00000110906",-1.31851049987892,7.90490809457433e-45,"KCTD10",-1.3463546104089,5.31375380234625e-47,"KCTD10","not","sig","KCTD10"
"280","ENSG00000204767",2.93117510250673,2.00569269600222e-44,"FAM196B",2.94305746985786,2.93337334751834e-40,"FAM196B","not","sig","FAM196B"
"281","ENSG00000169252",3.60098381480377,2.22729444797829e-44,"ADRB2",3.48950950479893,9.77823579246873e-43,"ADRB2","not","sig","ADRB2"
"282","ENSG00000188620",4.87822211060702,3.05785795904441e-44,"HMX3",5.74210918544093,4.46526127432429e-10,"HMX3","not","sig","HMX3"
"283","ENSG00000112782",9.76395133875897,3.26233190244758e-44,"CLIC5",9.87523658982762,3.5232134482567e-51,"CLIC5","not","sig","CLIC5"
"284","ENSG00000136244",3.68553028285871,4.32031998893385e-44,"IL6",3.57050198836772,7.41741471874496e-47,"IL6","not","sig","IL6"
"285","ENSG00000175130",5.52078325814397,4.70870868912412e-44,"MARCKSL1",5.50984259828918,8.34676537806305e-44,"MARCKSL1","not","sig","MARCKSL1"
"286","ENSG00000183337",1.28742757936895,5.92510612357936e-44,"BCOR",1.28224491665698,1.27077195582523e-43,"BCOR","not","sig","BCOR"
"287","ENSG00000109099",1.10690527451898,7.2364747918519e-44,"PMP22",1.09554042474923,7.1001326876984e-44,"PMP22","not","sig","PMP22"
"288","ENSG00000163874",3.98684625651618,8.67237527009801e-44,"ZC3H12A",3.98103491754403,1.9014680261323e-47,"ZC3H12A","not","sig","ZC3H12A"
